month	day	acre_feet
1	1	379000
1	2	379000
1	3	379000
1	4	379000
1	5	379000
1	6	379000
1	7	379000
1	8	379000
1	9	379000
1	10	379000
1	11	379000
1	12	379000
1	13	379000
1	14	379000
1	15	379000
1	16	379000
1	17	379000
1	18	379000
1	19	379000
1	20	379000
1	21	379000
1	22	379000
1	23	379000
1	24	379000
1	25	379000
1	26	379000
1	27	379000
1	28	379000
1	29	379000
1	30	379000
1	31	379000
2	1	379000
2	2	379000
2	3	379000
2	4	379000
2	5	379000
2	6	379000
2	7	379000
2	8	379000
2	9	379000
2	10	379000
2	11	379000
2	12	379000
2	13	379000
2	14	379000
2	15	379000
2	16	379000
2	17	379000
2	18	379000
2	19	379000
2	20	379000
2	21	379000
2	22	379000
2	23	379000
2	24	379000
2	25	379000
2	26	379000
2	27	379000
2	28	379000
3	1	390111.8421
3	2	401223.6842
3	3	412335.5263
3	4	423447.3684
3	5	434559.2105
3	6	445671.0526
3	7	456782.8947
3	8	467894.7368
3	9	479006.5789
3	10	490118.4211
3	11	501230.2632
3	12	512342.1053
3	13	523453.9474
3	14	534565.7895
3	15	545677.6316
3	16	556789.4737
3	17	567901.3158
3	18	579013.1579
3	19	590125
3	20	601236.8421
3	21	612348.6842
3	22	623460.5263
3	23	634572.3684
3	24	645684.2105
3	25	656796.0526
3	26	667907.8947
3	27	679019.7368
3	28	690131.5789
3	29	701243.4211
3	30	712355.2632
3	31	723467.1053
4	1	734578.9474
4	2	745690.7895
4	3	756802.6316
4	4	767914.4737
4	5	779026.3158
4	6	790138.1579
4	7	801250
4	8	812361.8421
4	9	823473.6842
4	10	834585.5263
4	11	845697.3684
4	12	856809.2105
4	13	867921.0526
4	14	879032.8947
4	15	890144.7368
4	16	901256.5789
4	17	912368.4211
4	18	923480.2632
4	19	934592.1053
4	20	945703.9474
4	21	956815.7895
4	22	967927.6316
4	23	979039.4737
4	24	990151.3158
4	25	1001263.158
4	26	1012375
4	27	1023486.842
4	28	1034598.684
4	29	1045710.526
4	30	1056822.368
5	1	1067934.211
5	2	1079046.053
5	3	1090157.895
5	4	1101269.737
5	5	1112381.579
5	6	1123493.421
5	7	1134605.263
5	8	1145717.105
5	9	1156828.947
5	10	1167940.789
5	11	1179052.632
5	12	1190164.474
5	13	1201276.316
5	14	1212388.158
5	15	1223500
5	16	1223500
5	17	1223500
5	18	1223500
5	19	1223500
5	20	1223500
5	21	1223500
5	22	1223500
5	23	1223500
5	24	1223500
5	25	1223500
5	26	1223500
5	27	1223500
5	28	1223500
5	29	1223500
5	30	1223500
5	31	1223500
6	1	1223500
6	2	1221524
6	3	1219548
6	4	1217572
6	5	1215596
6	6	1213620
6	7	1211644
6	8	1209668
6	9	1207692
6	10	1205716
6	11	1203740
6	12	1201764
6	13	1199788
6	14	1197812
6	15	1195836
6	16	1193860
6	17	1191884
6	18	1189908
6	19	1187932
6	20	1185956
6	21	1183980
6	22	1182004
6	23	1180028
6	24	1178052
6	25	1176076
6	26	1174100
6	27	1172124
6	28	1170148
6	29	1168172
6	30	1166196
7	1	1164220
7	2	1164220
7	3	1164220
7	4	1164220
7	5	1164220
7	6	1164220
7	7	1164220
7	8	1164220
7	9	1164220
7	10	1164220
7	11	1164220
7	12	1164220
7	13	1164220
7	14	1164220
7	15	1164220
7	16	1164220
7	17	1164220
7	18	1164220
7	19	1164220
7	20	1164220
7	21	1164220
7	22	1164220
7	23	1164220
7	24	1164220
7	25	1164220
7	26	1164220
7	27	1164220
7	28	1164220
7	29	1164220
7	30	1164220
7	31	1164220
8	1	1164220
8	2	1164220
8	3	1164220
8	4	1164220
8	5	1164220
8	6	1164220
8	7	1164220
8	8	1164220
8	9	1164220
8	10	1164220
8	11	1164220
8	12	1164220
8	13	1164220
8	14	1164220
8	15	1164220
8	16	1164220
8	17	1164220
8	18	1164220
8	19	1164220
8	20	1164220
8	21	1164220
8	22	1164220
8	23	1164220
8	24	1164220
8	25	1164220
8	26	1164220
8	27	1164220
8	28	1164220
8	29	1164220
8	30	1164220
8	31	1164220
9	1	1156445.545
9	2	1148671.089
9	3	1140896.634
9	4	1133122.178
9	5	1125347.723
9	6	1117573.267
9	7	1109798.812
9	8	1102024.356
9	9	1094249.901
9	10	1086475.446
9	11	1078700.99
9	12	1070926.535
9	13	1063152.079
9	14	1055377.624
9	15	1047603.168
9	16	1039828.713
9	17	1032054.257
9	18	1024279.802
9	19	1016505.347
9	20	1008730.891
9	21	1000956.436
9	22	993181.9802
9	23	985407.5248
9	24	977633.0693
9	25	969858.6139
9	26	962084.1584
9	27	954309.703
9	28	946535.2475
9	29	938760.7921
9	30	930986.3366
10	1	923211.8812
10	2	915437.4257
10	3	907662.9703
10	4	899888.5149
10	5	892114.0594
10	6	884339.604
10	7	876565.1485
10	8	868790.6931
10	9	861016.2376
10	10	853241.7822
10	11	845467.3267
10	12	837692.8713
10	13	829918.4158
10	14	822143.9604
10	15	814369.505
10	16	806595.0495
10	17	798820.5941
10	18	791046.1386
10	19	783271.6832
